height,width,timesteps,years,wind_prob,wind_directions,wind_directions,wind_directions,wind_directions,buffer,numbspecies,initial01,initial02,initial03,initial04,agedead01,agedead02,agedead03,agedead04,maxrgr01,maxrgr02,maxrgr03,maxrgr04,overwinter01,overwinter02,overwinter03,overwinter04
100,100,125,10,0.25,U,D,L,R,3,1,30,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
100,100,125,10,0.25,U,D,L,R,3,2,15,15,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0
100,100,125,10,0.25,U,D,L,R,3,3,10,10,10,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0
200,200,125,10,0.25,U,D,L,R,3,1,30,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
200,200,125,10,0.25,U,D,L,R,3,2,15,15,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0
200,200,125,10,0.25,U,D,L,R,3,3,10,10,10,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0
300,300,125,10,0.25,U,D,L,R,3,1,30,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
300,300,125,10,0.25,U,D,L,R,3,2,15,15,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0
300,300,125,10,0.25,U,D,L,R,3,3,10,10,10,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0
400,400,125,10,0.25,U,D,L,R,3,1,30,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
400,400,125,10,0.25,U,D,L,R,3,2,15,15,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0
400,400,125,10,0.25,U,D,L,R,3,3,10,10,10,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0
500,500,125,10,0.25,U,D,L,R,3,1,30,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
500,500,125,10,0.25,U,D,L,R,3,2,15,15,0,0,30,30,30,30,0.2,0.4,0,0,0.05,0.15,0,0
500,500,125,10,0.25,U,D,L,R,3,3,10,10,10,0,30,30,30,30,0.2,0.3,0.4,0,0.05,0.1,0.15,0
100,100,125,10,0.25,U,D,L,R,3,1,30,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
100,100,125,10,0.25,U,D,L,R,3,2,15,15,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
100,100,125,10,0.25,U,D,L,R,3,3,10,10,10,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
200,200,125,10,0.25,U,D,L,R,3,1,30,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
200,200,125,10,0.25,U,D,L,R,3,2,15,15,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
200,200,125,10,0.25,U,D,L,R,3,3,10,10,10,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
300,300,125,10,0.25,U,D,L,R,3,1,30,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
300,300,125,10,0.25,U,D,L,R,3,2,15,15,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
300,300,125,10,0.25,U,D,L,R,3,3,10,10,10,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
400,400,125,10,0.25,U,D,L,R,3,1,30,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
400,400,125,10,0.25,U,D,L,R,3,2,15,15,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
400,400,125,10,0.25,U,D,L,R,3,3,10,10,10,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
500,500,125,10,0.25,U,D,L,R,3,1,30,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0
500,500,125,10,0.25,U,D,L,R,3,2,15,15,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0
500,500,125,10,0.25,U,D,L,R,3,3,10,10,10,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0
