simulation,height1,width1,height2,width2,shape,size,area,HtoW,numbFPspecies,days,years,TOTALN,TOTALP,N_to_P,initial_perc_SAV_cover,initial_perc_SAV_cells_occupied,SAV_biomass_per_cell,initial_perc_FP_cover,initial_perc_FP_cells_occupied,FP_biomass_per_cell,initialSAVcells,initial01cells,initial02cells,initial03cells,initial04cells,initialSAVtotmass,initial01totmass,initial02totmass,initial03totmass,initial04totmass,neigh_thresh_SAV,focal_thresh_SAV,amnt_colonize_SAV,neigh_thresh_FP,focal_thresh_FP,amnt_colonize_FP,maxSAVrgr,maxrgr01,maxrgr02,maxrgr03,maxrgr04,lightlimitationSAV,lightlimitation01,lightlimitation02,lightlimitation03,lightlimitation04,halfsatNSAV,halfsatN01,halfsatN02,halfsatN03,halfsatN04,shadingbyFP,lightattenuation,lossSAV,lossFP,uptakeNSAV,uptakeN01,uptakeN02,uptakeN03,uptakeN04,uptakePSAV,uptakeP01,uptakeP02,uptakeP03,uptakeP04,overwinterSAV,overwinter01,overwinter02,overwinter03,overwinter04,wind_shape1,wind_shape2,wind_avg,wind_stdev,prob_up,prob_down,prob_left,prob_right,wind_direction,full_thresh_wind
1,20,20,5,5,rectangle,small,400,1,1,125,7,0.1,0.025,4,15,15,100,15,15,100,60,60,0,0,0,6000,6000,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,all,600
2,21,20,5,4,hook,small,400,NA,1,125,7,0.1,0.025,4,15,15,100,15,15,100,60,60,0,0,0,6000,6000,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,all,600
3,20,22,5,4,eight,small,400,NA,1,125,7,0.1,0.025,4,15,15,100,15,15,100,60,60,0,0,0,6000,6000,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,all,600
4,20,22,5,4,tee,small,400,NA,1,125,7,0.1,0.025,4,15,15,100,15,15,100,60,60,0,0,0,6000,6000,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,all,600
5,22,23,5,5,cross,small,406,NA,1,125,7,0.1,0.025,4,15,15,99.83606557,15,15,99.83606557,61,61,0,0,0,6090,6090,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,all,600
6,40,40,12,12,rectangle,large,1600,1,1,125,7,0.1,0.025,4,15,15,100,15,15,100,240,240,0,0,0,24000,24000,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,all,600
7,41,43,12,13,hook,large,1607,NA,1,125,7,0.1,0.025,4,15,15,100.0207469,15,15,100.0207469,241,241,0,0,0,24105,24105,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,all,600
8,44,44,13,13,eight,large,1598,NA,1,125,7,0.1,0.025,4,15,15,99.875,15,15,99.875,240,240,0,0,0,23970,23970,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,all,600
9,44,44,12,14,tee,large,1600,NA,1,125,7,0.1,0.025,4,15,15,100,15,15,100,240,240,0,0,0,24000,24000,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,all,600
10,46,47,12,12,cross,large,1586,NA,1,125,7,0.1,0.025,4,15,15,99.95798319,15,15,99.95798319,238,238,0,0,0,23790,23790,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,all,600
