"height1","width1","height2","width2","shape","size","area","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_up","prob_down","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
20,20,5,5,"rectangle","small",400,1,1,125,7,0.1,0.025,4,15,15,100,15,15,100,60,60,0,0,0,6000,6000,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,4.66266962610964e-12,2.81468337500839e-11,NA,1,1,99.9180184218154,100,1,87.8618911505647,99.9130180099345,99.9180140432133,2.5761987501811,0.000497136098332416,9.62814953799233e-08
21,20,5,4,"hook","small",400,NA,1,125,7,0.1,0.025,4,15,15,100,15,15,100,60,60,0,0,0,6000,6000,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.66283814425386e-12,2.81478510325787e-11,NA,1,1,99.9180184218284,100,1,87.5924370059145,99.913087389638,99.9180141057496,2.56634482976591,0.000497154111243663,9.62849751846296e-08
20,22,5,4,"eight","small",400,NA,1,125,7,0.1,0.025,4,15,15,100,15,15,100,60,60,0,0,0,6000,6000,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.66298504252194e-12,2.81487378037763e-11,NA,1,1,98.9188382376766,99,1,87.6121414978625,98.9143424408572,98.9188342859221,2.57289268962254,0.000497169853806265,9.62880085675503e-08
20,22,5,4,"tee","small",400,NA,1,125,7,0.1,0.025,4,15,15,100,15,15,100,60,60,0,0,0,6000,6000,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.66294560129013e-12,2.81484997114638e-11,NA,1,1,99.9180184218801,100,1,88.2346109355946,99.9133852035518,99.9180143553461,2.5682575066523,0.000497165483129277,9.62871941118963e-08
22,23,5,5,"cross","small",406,NA,1,125,7,0.1,0.025,4,15,15,99.83606557,15,15,99.83606557,61,61,0,0,0,6090,6090,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.66317334460641e-12,2.81498745146935e-11,NA,1,1,98.6875009535169,98.7684729064039,1,86.0267896183524,98.6822753313034,98.6874963904078,2.57219100859932,0.000497189876264893,9.62918968860993e-08
40,40,12,12,"rectangle","large",1600,1,1,125,7,0.1,0.025,4,15,15,100,15,15,100,240,240,0,0,0,24000,24000,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,0,0,4.66276506774933e-12,2.8147409896408e-11,NA,1,1,99.9180184218124,100,1,87.7823221419648,99.9129983070806,99.9180140286936,2.57621377307895,0.000497146298130085,9.62834661961982e-08
41,43,12,13,"hook","large",1607,NA,1,125,7,0.1,0.025,4,15,15,100.0207469,15,15,100.0207469,241,241,0,0,0,24105,24105,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.66298376327273e-12,2.8148730081416e-11,NA,1,1,99.9180184218724,100,1,88.2016790618643,99.913340874306,99.9180143182388,2.57316091209695,0.000497169589480963,9.62879821387395e-08
44,44,13,13,"eight","large",1598,NA,1,125,7,0.1,0.025,4,15,15,99.875,15,15,99.875,240,240,0,0,0,23970,23970,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.66294585454345e-12,2.81485012402616e-11,NA,1,1,99.1051684597745,99.1864831038799,1,87.7723744118551,99.1007192360951,99.1051645466277,2.5737102263108,0.000497165542547289,9.62871993404029e-08
44,44,12,14,"tee","large",1600,NA,1,125,7,0.1,0.025,4,15,15,100,15,15,100,240,240,0,0,0,24000,24000,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.66306947598161e-12,2.81492474977348e-11,NA,1,1,99.9180184218107,100,1,87.5728158148479,99.9129853273988,99.9180140204648,2.57622737229237,0.000497178736530519,9.62897520624439e-08
46,47,12,12,"cross","large",1586,NA,1,125,7,0.1,0.025,4,15,15,99.95798319,15,15,99.95798319,238,238,0,0,0,23790,23790,0,0,0,50,0,1,50,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,0,0,4.66310400636926e-12,2.81494559450777e-11,NA,1,1,99.1620182824439,99.2433795712484,1,87.1222531584967,99.1571210131535,99.1620139939877,2.57159372293597,0.000497182420472967,9.62904650903465e-08
